customer_id,full_name,email,phone,city,signup_date,segment,swiggy_one_member,marketing_opt_in
SWGY10050,Aditya Iyer,aditya.iyer991@hotmail.com,,kochi,2024-01-18,Dormant,False,N
SWGY10051,Pari Sharma,pari.sharma651@gmail.co,46120 04711,VIJAYAWADA,26/12/2024,Frequent Orderer,False,
SWGY10052,Diya Bose,diya.bose102@gmail.co,914053773515,kolkata,2025-01-22,Dormant,False,0
SWGY10053,Ayaan Patel,ayaan.patel995@gmail.com,53293 18393,mumbai,2024-09-08,New,False,Yes
SWGY10054,Ayaan Iyer,AYAAN.IYER27@YAHOO.COM,+91-39502-40268,Delhi,05/12/2024,Frequent Orderer,False,
SWGY10055,Rahul Das,rahul.das45@hotmail.com,(007) 661-7711,NELLORE,2025-01-28,New,False,Y
SWGY10056,Ayaan Shetty,ayaan.shetty612@hotmail.com,8961183673,ahmedabad,20/01/2025,Swiggy One Member,True,0
SWGY10057,Aadhya Reddy,aadhya.reddy704@gmail.co,911161528098,pune,08-11-2024,Frequent Orderer,False,No
SWGY10058,Aadhya Das,aadhya.das53@outlook.com,915198327315,noida,2025-04-12,Churned,False,yes
SWGY10059,Riya Singh,RIYA.SINGH629@HOTMAIL.COM,914024455022, Kochi ,2024-08-13,Dormant,False,Y
SWGY10060,Priya Sharma,priya.sharma379@outlook.com,9910229014, Mumbai ,25/11/2024,New,False,
SWGY10061,Aadhya Rao,aadhya.rao695@hotmail.com,,hyderabad,06/11/2024,New,False,1
SWGY10062,Ishaan Sharma,ishaan.sharma513@hotmail.com,5160607159, Gurugram ,08-14-2024,New,False,0
SWGY10063,Krishna Reddy,,13696 81645,kolkata,2023-06-22,Churned,False,No
SWGY10064,Anika Reddy,anika.reddy982@yahoo.com,912432921277, Nellore ,11-04-2024,New,False,1
SWGY10065,Pooja Khan,pooja.khan282@hotmail.com,,,08-24-2024,New,False,0
SWGY10066,Myra Pillai,myra.pillai330@hotmail.com,, Nellore ,13/07/2023,Frequent Orderer,False,Y
SWGY10067,Diya Das,diya.das54@outlook.com,,LUCKNOW,16/03/2024,Frequent Orderer,False,yes
SWGY10068,Rohan Chatterjee,rohan.chatterjee659@outlook.com,(816) 850-5423,,2025-01-30,Dormant,True,N
SWGY10069,Arjun Iyer,arjun.iyer856@hotmail.com,, Mumbai ,2024-03-29,Dormant,True,0
SWGY10070,Diya Singh,diya.singh547@yahoo.com,7359774688,GURUGRAM,2025-02-15,Frequent Orderer,False,Y
SWGY10071,Pooja Rao,pooja.rao729@hotmail.com,4124782613,bengaluru,2025-03-18,Frequent Orderer,False,0
SWGY10072,Vivaan Chatterjee,vivaan.chatterjee29@outlook.com,+91-52204-72779,Nellore,2024-06-17,Frequent Orderer,False,yes
SWGY10073,Kabir Iyer,kabir.iyer296@yahoo.com,+91-03697-11798,NELLORE,02-13-2025,Swiggy One Member,True,Y
SWGY10074,Krishna Mehta,krishna.mehta685@gmail.com,+91-51888-88067, Bengaluru ,19/02/2025,Frequent Orderer,False,yes
SWGY10075,Priya Sharma,priya.sharma791@hotmail.com,52058 52772,Pune,08-09-2023,Frequent Orderer,False,
SWGY10076,Vivaan Menon,vivaan.menon318@hotmail.com,+91-87403-45054,hyderabad,15/07/2023,,False,0
SWGY10077,Priya Joshi,priya.joshi377@hotmail.com,+91-16169-28451,lucknow,06-30-2024,,False,yes
SWGY10078,Krishna Joshi,krishna.joshi745@outlook.com,916401658202, Vijayawada ,2024-08-10,New,False,Y
SWGY10079,Aditya Singh,aditya.singh620@yahoo.com,,kochi,2025-03-22,Frequent Orderer,False,No
SWGY10080,Aarav Nair,aarav.nair267@gmail.co,+91-94731-21727,gurugram,11-12-2024,Frequent Orderer,False,1
SWGY10081,Karthik Gupta,karthik.gupta727@yahoo.com,918313237058,nellore,07/12/2024,,False,Y
SWGY10082,Ira Gupta,ira.gupta421@gmail.co,,MUMBAI,2024-04-12,Frequent Orderer,False,0
SWGY10083,Anika Verma,anika.verma958@yahoo.com,918414384249,Noida,10-06-2023,Frequent Orderer,False,Y
SWGY10084,Riya Pillai,riya.pillai620@outlook.com,919001094396,Delhi,23/11/2023,Swiggy One Member,True,yes
SWGY10085,Rohan Menon,rohan.menon75@gmail.com,6773592555,GURUGRAM,06/02/2024,Dormant,False,No
SWGY10086,Ananya Singh,ananya.singh298@gmail.co,6325953278, Gurugram ,04/10/2023,Frequent Orderer,False,
SWGY10087,Aarav Gupta,aarav.gupta50@gmail.com,9748016245,kolkata,2024-10-30,,False,0
SWGY10088,Vivaan Pillai,vivaan.pillai462@hotmail.com,99121 65585,NELLORE,12-17-2023,Frequent Orderer,False,0
SWGY10089,Anika Verma,anika.verma468@yahoo.com,(825) 952-6949, Bengaluru ,07-10-2023,New,False,yes
SWGY10090,Pari Sharma,pari.sharma598@outlook.com,09749 93097, Pune ,2024-05-05,Swiggy One Member,True,N
SWGY10091,Vivaan Pillai,vivaan.pillai423@yahoo.com,9702838578,jaipur,2023-09-21,New,False,
SWGY10092,Divya Bose,divya.bose659@outlook.com,(334) 843-4437, Pune ,11/12/2024,Frequent Orderer,False,yes
SWGY10093,Krishna Reddy,,24041 57473,vijayawada,04-23-2025,Swiggy One Member,True,yes
SWGY10094,Arjun Reddy,arjun.reddy232@yahoo.com,6571208267,VIJAYAWADA,21/01/2025,Frequent Orderer,True,1
SWGY10095,Krishna Verma,krishna.verma757@gmail.com,(262) 067-2400,Lucknow,31/08/2023,Swiggy One Member,True,yes
SWGY10096,Myra Bose,myra.bose280@yahoo.com,52742 05493, Nellore ,18/10/2024,Dormant,False,1
SWGY10097,Aditya Chatterjee,aditya.chatterjee255@gmail.com,,AHMEDABAD,2023-09-06,New,False,No
SWGY10098,Myra Menon,,(459) 332-7279, Delhi ,07-20-2024,Swiggy One Member,True,
SWGY10099,Rahul Bose,rahul.bose611@gmail.com,918519108839,KOCHI,2025-04-11,Dormant,False,1
SWGY10100,Pooja Malhotra,pooja.malhotra501@gmail.com,7072867908,gurugram,09-28-2023,Swiggy One Member,True,Yes
SWGY10101,Saanvi Rao,saanvi.rao353@gmail.com,0170462265, Noida ,04/06/2023,Dormant,False,0
SWGY10102,Aditya Bose,aditya.bose403@hotmail.com,30047 86863, Delhi ,31/03/2025,Dormant,True,Y
SWGY10103,Ayaan Patel,ayaan.patel959@gmail.com,1190790306,LUCKNOW,09-24-2023,New,False,N
SWGY10104,Rahul Verma,rahul.verma590@outlook.com,915342836440,DELHI,10-28-2024,Churned,False,0
SWGY10105,Navya Kapoor,navya.kapoor327@gmail.co,+91-46287-33427, Bengaluru ,18/05/2024,Churned,False,Y
SWGY10106,Saanvi Singh,saanvi.singh380@gmail.com,,CHENNAI,26/12/2023,Frequent Orderer,True,N
SWGY10107,Pooja Khan,,,chennai,16/06/2023,New,False,yes
SWGY10108,Diya Malhotra,diya.malhotra780@outlook.com,915560932048, Lucknow ,22/10/2024,Frequent Orderer,False,Y
SWGY10109,Kabir Khan,kabir.khan564@outlook.com,917772522872,Hyderabad,06-23-2024,Swiggy One Member,True,Yes
SWGY10110,Vikram Gupta,vikram.gupta646@yahoo.com,, Noida ,2025-04-15,New,True,Yes
SWGY10111,Navya Bose,navya.bose294@gmail.com,(621) 182-3398,kolkata,13/06/2023,New,False,0
SWGY10112,Aditya Das,aditya.das232@outlook.com,,KOLKATA,2024-09-13,Swiggy One Member,True,
SWGY10113,Pooja Mehta,pooja.mehta98@hotmail.com,,Ahmedabad,2024-05-05,Swiggy One Member,True,1
SWGY10114,Aarav Patel,aarav.patel79@outlook.com,,Vijayawada,26/10/2023,Dormant,False,N
SWGY10115,Vikram Gupta,VIKRAM.GUPTA793@OUTLOOK.COM,, Pune ,2025-02-09,Dormant,False,yes
SWGY10116,Neha Singh,neha.singh650@yahoo.com,55110 47541,Jaipur,2023-08-15,New,False,0
SWGY10117,Myra Bose,myra.bose96@hotmail.com,915604661839,NELLORE,11-06-2024,Frequent Orderer,True,0
SWGY10118,Reyansh Iyer,reyansh.iyer283@gmail.co,15437 99371,chennai,2024-04-04,Frequent Orderer,False,0
SWGY10119,Ananya Shetty,ananya.shetty667@hotmail.com,915937526547,KOLKATA,03/05/2024,Frequent Orderer,False,0
SWGY10120,Ayaan Chatterjee,AYAAN.CHATTERJEE185@HOTMAIL.COM,(737) 416-7243,PUNE,09-25-2023,Churned,False,0
SWGY10121,Neha Chatterjee,neha.chatterjee519@gmail.co,915891135290, Mumbai ,02/09/2024,Churned,False,0
SWGY10122,Ishaan Sharma,ishaan.sharma705@hotmail.com,(567) 982-5071, Mumbai ,2024-02-20,Frequent Orderer,False,No
SWGY10123,Vikram Iyer,vikram.iyer357@gmail.co,,PUNE,04-15-2024,,False,Y
SWGY10124,Navya Nair,,,PUNE,2024-12-25,Frequent Orderer,False,yes
SWGY10125,Rahul Gupta,rahul.gupta202@gmail.co,(785) 969-6915, Vijayawada ,09-13-2023,Dormant,False,Y
SWGY10126,Vikram Menon,vikram.menon321@gmail.com,1252866929, Lucknow ,2025-02-19,Swiggy One Member,True,
SWGY10127,Rohan Bose,rohan.bose296@yahoo.com,917905072368, Jaipur ,22/03/2025,Churned,False,
SWGY10128,Aadhya Joshi,aadhya.joshi300@gmail.com,+91-84279-78819,gurugram,11-19-2023,New,True,1
SWGY10129,Navya Verma,navya.verma105@yahoo.com,,kochi,08-25-2024,Swiggy One Member,True,0
SWGY10130,Reyansh Shetty,reyansh.shetty546@outlook.com,+91-25449-48126,delhi,12-29-2023,Dormant,False,Y
SWGY10131,Karthik Iyer,karthik.iyer693@gmail.co,,hyderabad,28/10/2023,Dormant,False,
SWGY10132,Ananya Pillai,ananya.pillai367@gmail.com,,BENGALURU,09-04-2023,Dormant,False,
SWGY10133,Neha Khan,NEHA.KHAN857@GMAIL.CO,+91-27706-32424,lucknow,29/04/2025,Dormant,True,No
SWGY10134,Diya Nair,,, Bengaluru ,2024-07-10,Swiggy One Member,True,Yes
SWGY10135,Karthik Khan,karthik.khan73@yahoo.com,911155426221,Noida,10-02-2023,Churned,False,Y
SWGY10136,Myra Das,,31121 96565,JAIPUR,05/01/2024,Swiggy One Member,True,No
SWGY10137,Sai Bose,sai.bose28@outlook.com,98364 03761, Vijayawada ,02-04-2025,Dormant,False,No
SWGY10138,Anika Sharma,anika.sharma375@hotmail.com,7109104300,pune,04-20-2024,New,False,0
SWGY10139,Aadhya Chatterjee,aadhya.chatterjee285@gmail.com,,MUMBAI,2025-03-17,Swiggy One Member,True,N
SWGY10140,Aditya Mehta,aditya.mehta683@yahoo.com,20275 88425,mumbai,09-07-2024,Swiggy One Member,True,No
SWGY10141,Rahul Sharma,rahul.sharma591@gmail.com,918507925241,Pune,2024-08-13,Frequent Orderer,True,Yes
SWGY10142,Vivaan Sharma,vivaan.sharma954@gmail.com,+91-63536-54195,Hyderabad,2023-07-18,Frequent Orderer,False,N
SWGY10143,Neha Malhotra,neha.malhotra866@outlook.com,8705349493,bengaluru,07-15-2024,New,False,
SWGY10144,Rahul Patel,rahul.patel420@gmail.com,5050641383, Jaipur ,2024-12-11,Dormant,True,Y
SWGY10145,Karthik Rao,karthik.rao718@outlook.com,1918261990,MUMBAI,2023-07-15,Churned,False,yes
SWGY10146,Ayaan Khan,ayaan.khan279@yahoo.com,3291212775,Lucknow,07-07-2024,Dormant,False,1
SWGY10147,Rahul Patel,rahul.patel827@outlook.com,+91-90352-13568,gurugram,11/04/2024,Frequent Orderer,False,Y
SWGY10148,Aarav Chatterjee,aarav.chatterjee97@gmail.co,912100323651,noida,2024-09-06,Swiggy One Member,True,Yes
SWGY10149,Aditya Patel,aditya.patel850@outlook.com,70296 67066,lucknow,2025-03-23,Frequent Orderer,False,Y
SWGY10150,Ayaan Rao,ayaan.rao303@gmail.co,87014 62638,Gurugram,31/10/2023,New,False,1
SWGY10151,Pari Bose,PARI.BOSE277@YAHOO.COM,93040 78593,Kochi,2024-10-09,Frequent Orderer,False,N
SWGY10152,Ayaan Bose,ayaan.bose817@gmail.co,912239559059,NOIDA,07-28-2023,Dormant,False,N
SWGY10153,Vikram Kapoor,VIKRAM.KAPOOR617@YAHOO.COM,+91-70593-25250,NELLORE,04-12-2024,New,True,Y
SWGY10154,Rahul Reddy,rahul.reddy965@gmail.co,,noida,2024-11-20,Dormant,False,Y
SWGY10155,Saanvi Menon,saanvi.menon719@hotmail.com,90295 93917,jaipur,05-06-2025,Frequent Orderer,True,No
SWGY10156,Sai Das,sai.das842@outlook.com,4331541006, Pune ,2023-11-19,Swiggy One Member,True,0
SWGY10157,Pari Chatterjee,pari.chatterjee592@yahoo.com,1040541152,,12-11-2024,Frequent Orderer,False,No
SWGY10158,Navya Gupta,navya.gupta442@yahoo.com,(620) 153-3688,pune,29/01/2025,Churned,False,N
SWGY10159,Ishaan Verma,,+91-14973-10324, Kolkata ,2025-01-06,Swiggy One Member,True,yes
SWGY10160,Neha Chatterjee,neha.chatterjee397@yahoo.com,(652) 704-7743,Gurugram,2024-10-13,Dormant,False,No
SWGY10161,Aditya Das,aditya.das63@gmail.co,916879374160,KOCHI,2024-12-06,Frequent Orderer,False,
SWGY10162,Reyansh Nair,reyansh.nair446@yahoo.com,(294) 511-6868,hyderabad,12-15-2023,New,False,
SWGY10163,Divya Sharma,divya.sharma430@gmail.com,(299) 911-9148, Kochi ,18/05/2025,Swiggy One Member,True,0
SWGY10164,Rohan Kapoor,rohan.kapoor634@hotmail.com,(606) 530-7450,vijayawada,13/02/2025,Frequent Orderer,False,yes
SWGY10165,Vikram Kapoor,vikram.kapoor234@yahoo.com,, Noida ,05-13-2025,Swiggy One Member,True,1
SWGY10166,Vikram Verma,vikram.verma800@hotmail.com,,NELLORE,10/11/2023,,False,1
SWGY10167,Vikram Joshi,vikram.joshi32@yahoo.com,,Nellore,11/07/2024,Swiggy One Member,True,Yes
SWGY10168,Saanvi Verma,saanvi.verma231@yahoo.com,(680) 072-2903,delhi,01-06-2025,Dormant,False,yes
SWGY10169,Aadhya Chatterjee,aadhya.chatterjee534@hotmail.com,1085899441,Noida,23/05/2024,Frequent Orderer,False,yes
SWGY10170,Rohan Khan,rohan.khan306@yahoo.com,3096520744, Noida ,10/03/2024,Frequent Orderer,False,Yes
SWGY10171,Riya Pillai,riya.pillai654@gmail.co,,noida,12-12-2023,Frequent Orderer,False,Y
SWGY10172,Sneha Khan,sneha.khan431@outlook.com,9471709991,,08-31-2023,Frequent Orderer,False,No
SWGY10173,Pooja Chatterjee,pooja.chatterjee206@outlook.com,,,2024-04-01,Frequent Orderer,False,
SWGY10174,Ayaan Patel,ayaan.patel805@gmail.com,,kochi,2023-11-20,Swiggy One Member,True,1
SWGY10175,Rahul Malhotra,rahul.malhotra255@yahoo.com,+91-54216-89421,hyderabad,19/06/2023,Swiggy One Member,True,
SWGY10176,Priya Malhotra,priya.malhotra351@gmail.co,913260332309,VIJAYAWADA,2024-11-18,Frequent Orderer,False,1
SWGY10177,Karthik Verma,karthik.verma50@gmail.com,,KOLKATA,2025-03-17,Frequent Orderer,False,Yes
SWGY10178,Krishna Mehta,krishna.mehta621@yahoo.com,18914 11739,ahmedabad,09-12-2023,Swiggy One Member,True,N
SWGY10179,Diya Mehta,diya.mehta956@gmail.co,,Chennai,12/11/2023,New,False,N
SWGY10180,Myra Menon,myra.menon873@outlook.com,5611002255,chennai,09-18-2024,New,False,No
SWGY10181,Diya Khan,diya.khan395@gmail.co,, Delhi ,2023-09-25,Frequent Orderer,False,0
SWGY10182,Rahul Das,rahul.das914@yahoo.com,,VIJAYAWADA,06-30-2023,Dormant,False,1
SWGY10183,Anika Malhotra,anika.malhotra745@yahoo.com,62890 02877,Jaipur,18/05/2025,,True,1
SWGY10184,Sai Khan,sai.khan837@yahoo.com,+91-79717-75170, Chennai ,22/07/2023,Frequent Orderer,False,Yes
SWGY10185,Navya Bose,navya.bose912@hotmail.com,7550375899,bengaluru,09-02-2023,Dormant,False,
SWGY10186,Ishaan Reddy,ishaan.reddy988@outlook.com,51027 26149,KOCHI,2025-04-05,Frequent Orderer,False,0
SWGY10187,Kabir Joshi,kabir.joshi949@hotmail.com,7798270808, Noida ,12-13-2023,Dormant,True,Y
SWGY10188,Karthik Pillai,,6934654722,,10-10-2023,New,False,1
SWGY10189,Karthik Bose,karthik.bose354@yahoo.com,, Ahmedabad ,01-09-2024,New,False,yes
SWGY10190,Nikhil Mehta,,+91-34244-20438,kochi,14/06/2023,Swiggy One Member,False,No
SWGY10191,Ira Bose,ira.bose804@outlook.com,910666580043, Noida ,2024-01-16,Dormant,False,1
SWGY10192,Rahul Pillai,rahul.pillai460@yahoo.com,(122) 816-0648,NELLORE,2025-02-07,New,False,yes
SWGY10193,Aarav Khan,aarav.khan612@gmail.com,,Gurugram,05-27-2025,Churned,True,Y
SWGY10194,Aadhya Bose,aadhya.bose340@outlook.com,,NELLORE,2024-07-18,New,False,1
SWGY10195,Saanvi Reddy,saanvi.reddy934@hotmail.com,+91-58877-04358,Kolkata,2024-02-18,,True,Yes
SWGY10196,Rohan Gupta,rohan.gupta702@gmail.co,+91-38612-07501,Hyderabad,2025-04-17,Swiggy One Member,True,yes
SWGY10197,Navya Gupta,navya.gupta415@gmail.co,916180919015,Vijayawada,20/01/2024,Churned,False,yes
SWGY10198,Ira Gupta,ira.gupta161@hotmail.com,+91-68424-50882,Chennai,2024-08-22,Frequent Orderer,True,0
SWGY10199,Navya Bose,navya.bose217@gmail.co,,Mumbai,04-08-2024,New,False,
SWGY10200,Rohan Bose,rohan.bose203@hotmail.com,5523149135, Mumbai ,24/03/2024,Swiggy One Member,True,yes
SWGY10201,Karthik Pillai,karthik.pillai982@gmail.co,5336452577,delhi,31/12/2024,Swiggy One Member,True,
SWGY10202,Navya Reddy,navya.reddy880@yahoo.com,,DELHI,2025-03-23,Swiggy One Member,True,yes
SWGY10203,Navya Bose,navya.bose791@hotmail.com,,GURUGRAM,03-31-2025,Dormant,False,Y
SWGY10204,Rahul Malhotra,rahul.malhotra894@yahoo.com,+91-75037-31453,DELHI,08-30-2024,New,False,1
SWGY10205,Saanvi Kapoor,saanvi.kapoor106@hotmail.com,,Lucknow,09-08-2024,Dormant,True,yes
SWGY10206,Saanvi Singh,SAANVI.SINGH494@HOTMAIL.COM,27231 84322,nellore,07-20-2024,Frequent Orderer,False,No
SWGY10207,Sneha Singh,sneha.singh216@hotmail.com,+91-60302-99228,KOLKATA,2024-05-04,Dormant,False,Y
SWGY10208,Ayaan Nair,ayaan.nair20@outlook.com,913797723692,NELLORE,07-20-2024,Swiggy One Member,True,yes
SWGY10209,Reyansh Khan,reyansh.khan388@gmail.co,910388629127,Lucknow,09-07-2024,Swiggy One Member,True,No
SWGY10210,Aditya Kapoor,aditya.kapoor961@gmail.co,, Ahmedabad ,2023-10-12,Churned,True,yes
SWGY10211,Pari Singh,pari.singh194@gmail.com,(098) 180-6356,Lucknow,2023-08-25,Frequent Orderer,False,0
SWGY10212,Rohan Pillai,rohan.pillai283@gmail.co,(688) 725-8874,chennai,02-23-2024,Dormant,False,0
SWGY10213,Priya Iyer,priya.iyer973@yahoo.com,86589 02601, Noida ,04-06-2025,New,False,0
SWGY10214,Aditya Gupta,aditya.gupta954@gmail.co,(849) 027-7038,CHENNAI,2024-01-14,Frequent Orderer,False,N
SWGY10215,Ira Nair,ira.nair89@outlook.com,(566) 938-0118,ahmedabad,07/07/2023,Frequent Orderer,False,yes
SWGY10216,Sai Shetty,sai.shetty417@hotmail.com,, Hyderabad ,08/09/2024,Churned,False,
SWGY10217,Rahul Singh,,+91-41633-56588,kochi,2024-05-13,Churned,False,yes
SWGY10218,Aditya Chatterjee,aditya.chatterjee363@yahoo.com,42373 33433,,05-16-2024,New,False,1
SWGY10219,Arjun Reddy,arjun.reddy629@gmail.com,80759 57947,mumbai,20/08/2023,Swiggy One Member,True,N
SWGY10220,Rahul Pillai,rahul.pillai963@hotmail.com,,DELHI,26/07/2023,Swiggy One Member,True,No
SWGY10221,Ananya Das,ananya.das982@hotmail.com,27636 55647,VIJAYAWADA,02-21-2024,New,False,N
SWGY10222,Vikram Reddy,,2702672885,jaipur,03/03/2024,Dormant,False,Yes
SWGY10223,Saanvi Reddy,saanvi.reddy645@gmail.com,+91-54558-84506,jaipur,11-15-2023,New,False,N
SWGY10224,Riya Pillai,riya.pillai292@outlook.com,,ahmedabad,26/03/2025,Swiggy One Member,True,0
SWGY10225,Pooja Gupta,,+91-64759-87622,MUMBAI,11-13-2023,Frequent Orderer,False,N
SWGY10226,Sneha Rao,sneha.rao98@gmail.com,,Jaipur,05-18-2025,Dormant,False,0
SWGY10227,Krishna Singh,krishna.singh175@gmail.com,55778 48728, Hyderabad ,03-17-2024,Frequent Orderer,False,0
SWGY10228,Anika Bose,anika.bose316@outlook.com,+91-24008-25478, Chennai ,21/05/2024,Frequent Orderer,False,yes
SWGY10229,Aarav Mehta,aarav.mehta562@outlook.com,8663266341,KOCHI,03-26-2024,Swiggy One Member,True,yes
SWGY10230,Krishna Bose,krishna.bose297@gmail.com,919749735020,Kochi,2024-03-02,Frequent Orderer,False,No
SWGY10231,Krishna Rao,krishna.rao506@yahoo.com,4757051204,Delhi,08-22-2024,Dormant,False,
SWGY10232,Reyansh Patel,reyansh.patel787@yahoo.com,,lucknow,12/02/2024,Dormant,False,Y
SWGY10233,Rohan Verma,rohan.verma654@outlook.com,+91-03136-50249, Jaipur ,2024-12-14,Swiggy One Member,True,Yes
SWGY10234,Vivaan Pillai,vivaan.pillai92@yahoo.com,1950052812,KOCHI,08/05/2025,Frequent Orderer,False,1
SWGY10235,Neha Joshi,neha.joshi257@gmail.com,, Jaipur ,15/12/2023,New,False,Y
SWGY10236,Aditya Malhotra,aditya.malhotra1@hotmail.com,20959 35186, Delhi ,09-03-2024,Frequent Orderer,False,Y
SWGY10237,Ira Menon,,, Pune ,07-24-2024,Swiggy One Member,True,
